symbol,company_name,sector
ADANIENT,Adani Enterprises Ltd,Metals & Mining
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Services
ATGL,Adani Total Gas Ltd,Utilities
ADANIPOWER,Adani Power Ltd,Utilities
AUROPHARMA,Aurobindo Pharma Ltd,Healthcare
AXISBANK,Axis Bank Ltd,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services
BALKRISIND,Balkrishna Industries Ltd,Automobile and Auto Components
BANDHANBNK,Bandhan Bank Ltd,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BEL,Bharat Electronics Ltd,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd,Telecommunication
BOSCHLTD,Bosch Ltd,Automobile and Auto Components
BRITANNIA,Britannia Industries Ltd,Fast Moving Consumer Goods
CANBK,Canara Bank,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,Financial Services
CIPLA,Cipla Ltd,Healthcare
COALINDIA,Coal India Ltd,Oil Gas & Consumable Fuels
COFORGE,Coforge Ltd,Information Technology
COLPAL,Colgate-Palmolive (India) Ltd,Fast Moving Consumer Goods
CUMMINSIND,Cummins India Ltd,Capital Goods
DLF,DLF Ltd,Realty
DIVISLAB,Divi's Laboratories Ltd,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd,Healthcare
EICHERMOT,Eicher Motors Ltd,Automobile and Auto Components
ETERNAL,Eternal Ltd,Consumer Services
FEDERALBNK,The Federal Bank Ltd,Financial Services
GAIL,GAIL (India) Ltd,Oil Gas & Consumable Fuels
GODREJCP,Godrej Consumer Products Ltd,Fast Moving Consumer Goods
GODREJPROP,Godrej Properties Ltd,Realty
GRASIM,Grasim Industries Ltd,Construction Materials
HCLTECH,HCL Technologies Ltd,Information Technology
HDFCAMC,HDFC Asset Management Company Ltd,Financial Services
HDFCBANK,HDFC Bank Ltd,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd,Financial Services
HEROMOTOCO,Hero MotoCorp Ltd,Automobile and Auto Components
HINDALCO,Hindalco Industries Ltd,Metals & Mining
HINDPETRO,Hindustan Petroleum Corporation Ltd,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Ltd,Fast Moving Consumer Goods
ICICIBANK,ICICI Bank Ltd,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financial Services
IDBI,IDBI Bank Ltd,Financial Services
IDFCFIRSTB,IDFC First Bank Ltd,Financial Services
IGL,Indraprastha Gas Ltd,Utilities
INDHOTEL,The Indian Hotels Company Ltd,Consumer Services
INDUSINDBK,IndusInd Bank Ltd,Financial Services
INDUSTOWER,Indus Towers Ltd,Telecommunication
INFY,Infosys Ltd,Information Technology
IOC,Indian Oil Corporation Ltd,Oil Gas & Consumable Fuels
IRCTC,Indian Railway Catering and Tourism Corporation Ltd,Consumer Services
IRFC,Indian Railway Finance Corporation Ltd,Financial Services
ITC,ITC Ltd,Fast Moving Consumer Goods
JINDALSTEL,Jindal Steel & Power Ltd,Metals & Mining
JIOFIN,Jio Financial Services Ltd,Financial Services
JSWSTEEL,JSW Steel Ltd,Metals & Mining
KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services
LICI,Life Insurance Corporation of India,Financial Services
LT,Larsen & Toubro Ltd,Construction
LTIM,LTIMindtree Ltd,Information Technology
LTTS,L&T Technology Services Ltd,Information Technology
LUPIN,Lupin Ltd,Healthcare
M&M,Mahindra & Mahindra Ltd,Automobile and Auto Components
MARICO,Marico Ltd,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd,Automobile and Auto Components
MFSL,Max Financial Services Ltd,Financial Services
MOTHERSON,Samvardhana Motherson International Ltd,Automobile and Auto Components
MPHASIS,Mphasis Ltd,Information Technology
MRF,MRF Ltd,Automobile and Auto Components
MUTHOOTFIN,Muthoot Finance Ltd,Financial Services
NAUKRI,Info Edge (India) Ltd,Consumer Services
NESTLEIND,Nestle India Ltd,Fast Moving Consumer Goods
NMDC,NMDC Ltd,Metals & Mining
NTPC,NTPC Ltd,Utilities
ONGC,Oil and Natural Gas Corporation Ltd,Oil Gas & Consumable Fuels
PAGEIND,Page Industries Ltd,Textiles
PERSISTENT,Persistent Systems Ltd,Information Technology
PETRONET,Petronet LNG Ltd,Oil Gas & Consumable Fuels
PIDILITIND,Pidilite Industries Ltd,Chemicals
PNB,Punjab National Bank,Financial Services
POLYCAB,Polycab India Ltd,Capital Goods
POWERGRID,Power Grid Corporation of India Ltd,Utilities
RECLTD,REC Ltd,Financial Services
RELIANCE,Reliance Industries Ltd,Oil Gas & Consumable Fuels
SAIL,Steel Authority of India Ltd,Metals & Mining
SBICARD,SBI Cards and Payment Services Ltd,Financial Services
SBILIFE,SBI Life Insurance Company Ltd,Financial Services
SBIN,State Bank of India,Financial Services
SHREECEM,Shree Cement Ltd,Construction Materials
SIEMENS,Siemens Ltd,Capital Goods
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare
SUNTV,Sun TV Network Ltd,Media Entertainment & Publication
TATACHEM,Tata Chemicals Ltd,Chemicals
TATACONSUM,Tata Consumer Products Ltd,Fast Moving Consumer Goods
TATAMOTORS,Tata Motors Ltd,Automobile and Auto Components
TATAPOWER,Tata Power Company Ltd,Utilities
TATASTEEL,Tata Steel Ltd,Metals & Mining
TCS,Tata Consultancy Services Ltd,Information Technology
TECHM,Tech Mahindra Ltd,Information Technology
TITAN,Titan Company Ltd,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare
TRENT,Trent Ltd,Consumer Durables
TVSMOTOR,TVS Motor Company Ltd,Automobile and Auto Components
ULTRACEMCO,UltraTech Cement Ltd,Construction Materials
UNIONBANK,Union Bank of India,Financial Services
UNITDSPR,United Spirits Ltd,Fast Moving Consumer Goods
VBL,Varun Beverages Ltd,Fast Moving Consumer Goods
VEDL,Vedanta Ltd,Metals & Mining
WIPRO,Wipro Ltd,Information Technology
ZYDUSLIFE,Zydus Lifesciences Ltd,Healthcare
